date,symbol,close,ensemble_prob,rf_prob,xgb_prob,signal_fired,reject_reason,ofi_value,ofi_gate_pass,rsi,atr_pct,in_position
2026-07-14,ETH/USDT,1787.85,0.3727,0.4437,0.3018,False,PROB_TOO_LOW_0.3727,0.2185,YES,76.93,3.8194,False
2026-07-14,LINK/USDT,7.91913,0.3644,0.4389,0.29,False,PROB_TOO_LOW_0.3644,-0.0112,NO,67.82,3.8224,False
2026-07-14,SOL/USDT,75.32,0.3043,0.3497,0.259,False,PROB_TOO_LOW_0.3043,-0.0738,NO,54.72,4.3178,False
2026-07-15,LINK/USDT,8.27391,0.2712,0.2928,0.2496,False,PROB_TOO_LOW_0.2712,0.1359,YES,69.5,3.7004,False
2026-07-15,SOL/USDT,77.46,0.2422,0.2835,0.201,False,PROB_TOO_LOW_0.2422,0.063,YES,50.09,3.8776,False
2026-07-15,ETH/USDT,1870.39,0.2262,0.2881,0.1643,False,PROB_TOO_LOW_0.2262,0.239,YES,76.76,3.7985,False
2026-07-16,ETH/USDT,1925.37,0.3401,0.3931,0.2871,False,PROB_TOO_LOW_0.3401,0.0054,YES,77.39,3.4915,False
2026-07-16,LINK/USDT,8.55013,0.27,0.3288,0.2112,False,PROB_TOO_LOW_0.2700,-0.0626,NO,69.08,3.3919,False
2026-07-16,SOL/USDT,77.05,0.2272,0.3089,0.1456,False,PROB_TOO_LOW_0.2272,0.1228,YES,37.25,3.5376,False
2026-07-16,LINK/USDT,8.37197,0.307,0.2973,0.3166,False,PROB_TOO_LOW_0.3070,-0.0571,NO,63.85,3.5543,False
2026-07-16,SOL/USDT,75.72,0.2996,0.3463,0.2528,False,PROB_TOO_LOW_0.2996,-0.074,NO,34.1,3.7403,False
2026-07-16,ETH/USDT,1877.04,0.2618,0.3275,0.1961,False,PROB_TOO_LOW_0.2618,0.0128,YES,69.91,3.7583,False
2026-07-17,ETH/USDT,1857.09,0.3343,0.3433,0.3254,False,PROB_TOO_LOW_0.3343,-0.4003,NO,62.18,3.6201,False
2026-07-17,LINK/USDT,8.27626,0.332,0.3182,0.3458,False,PROB_TOO_LOW_0.3320,0.1574,YES,57.01,3.4678,False
2026-07-17,SOL/USDT,75.42,0.321,0.3465,0.2955,False,PROB_TOO_LOW_0.3210,0.0995,YES,26.27,3.6131,False
2026-07-17,LINK/USDT,8.166,0.3509,0.397,0.3048,False,PROB_TOO_LOW_0.3509,-0.065,NO,54.21,3.6093,False
2026-07-17,ETH/USDT,1827.28,0.2767,0.3175,0.2359,False,PROB_TOO_LOW_0.2767,-0.0078,NO,57.92,3.7664,False
2026-07-17,SOL/USDT,74.4,0.2661,0.2827,0.2495,False,PROB_TOO_LOW_0.2661,0.0012,YES,24.25,3.7174,False
2026-07-18,ETH/USDT,1842.28,0.372,0.4146,0.3293,False,PROB_TOO_LOW_0.3720,-0.5823,NO,57.74,3.5894,False
2026-07-18,SOL/USDT,75.23,0.329,0.3363,0.3216,False,PROB_TOO_LOW_0.3290,-0.0182,NO,27.2,3.5501,False
2026-07-18,LINK/USDT,8.27297,0.2657,0.3072,0.2243,False,PROB_TOO_LOW_0.2657,0.239,YES,56.25,3.4914,False
2026-07-19,SOL/USDT,75.88,0.3872,0.4459,0.3285,False,PROB_TOO_LOW_0.3872,-0.0574,NO,30.96,3.4274,False
2026-07-19,ETH/USDT,1865.62,0.3643,0.4576,0.271,False,PROB_TOO_LOW_0.3643,-0.3389,NO,59.62,3.4722,False
2026-07-19,LINK/USDT,8.36869,0.2754,0.3151,0.2357,False,PROB_TOO_LOW_0.2754,-0.0591,NO,56.66,3.3151,False
2026-07-20,SOL/USDT,76.81,0.4512,0.5097,0.3926,False,PROB_TOO_LOW_0.4512,0.0618,YES,33.22,3.1023,False
2026-07-20,ETH/USDT,1879.56,0.3136,0.4136,0.2136,False,PROB_TOO_LOW_0.3136,0.1868,YES,59.62,3.1764,False
2026-07-20,LINK/USDT,8.45592,0.2436,0.2961,0.1911,False,PROB_TOO_LOW_0.2436,0.3647,YES,59.9,3.1172,False
2026-07-21,SOL/USDT,78.23,0.5041,0.5089,0.4992,False,PROB_TOO_LOW_0.5041,0.1202,YES,42.39,3.0414,False
2026-07-21,ETH/USDT,1923.7,0.4354,0.4449,0.426,False,PROB_TOO_LOW_0.4354,0.4415,YES,68.05,3.1777,False
2026-07-21,LINK/USDT,8.61519,0.2793,0.3666,0.1921,False,PROB_TOO_LOW_0.2793,0.1316,YES,66.7,3.0936,False
2026-07-22,SOL/USDT,78.14,0.3772,0.4131,0.3412,False,PROB_TOO_LOW_0.3772,0.1724,YES,51.36,2.746,False
2026-07-22,ETH/USDT,1932.2,0.3696,0.4108,0.3283,False,PROB_TOO_LOW_0.3696,0.3244,YES,72.83,3.0613,False
2026-07-22,LINK/USDT,8.70237,0.3083,0.3916,0.2251,False,PROB_TOO_LOW_0.3083,-0.1271,NO,77.13,2.9285,False
